Unnamed: 0_x,Racedate,HorseNo,HorseName,HorseName_cn,Jockey,Jockey_cn,ActWeight,HorseWeight,Draw,Trainer,Total,Class,Distance,Venue,Course,Going,RaceTime,RestDays,Freq,Gear,HorseScore,Unnamed: 0_y,Age
0,2025/09/28,1,WINNING GOLD,金勝名駒,R Kingscote,金誠剛,135,1069,11,W Y So,11,Class 3,1600,Sha Tin:,"TURF - ""C+3"" Course",Good,18:20,14,1,TT,,1043,5
1,2025/09/28,2,ATULLIBIGEAL,增有,H Bowman,布文,133,1074,13,D J Hall,11,Class 3,1600,Sha Tin:,"TURF - ""C+3"" Course",Good,18:20,21,1,B/XB,,1688,7
2,2025/09/28,3,SNOWFIELD,飛雪神駒,C Y Ho,何澤堯,132,1119,10,M Newnham,11,Class 3,1600,Sha Tin:,"TURF - ""C+3"" Course",Good,18:20,14,1,XB/TT,,321,4
3,2025/09/28,4,YUEN LONG ELITE,元朗精英,M L Yeung,楊明綸,132,1141,12,K L Man,11,Class 3,1600,Sha Tin:,"TURF - ""C+3"" Course",Good,18:20,89,0,TT,,1061,5
4,2025/09/28,5,BEAUTY BOLT,美麗星晨,Z Purton,潘頓,130,1160,4,A S Cruz,11,Class 3,1600,Sha Tin:,"TURF - ""C+3"" Course",Good,18:20,77,0,TT,,19,3
5,2025/09/28,6,AESTHETICISM,唯美主義,P N Wong,黃寶妮 (-7),128,1039,7,P C Ng,11,Class 3,1600,Sha Tin:,"TURF - ""C+3"" Course",Good,18:20,95,0,B2,,1483,6
6,2025/09/28,7,PANACEA,自然動力,D Probert,潘大衛,128,1153,2,P F Yiu,11,Class 3,1600,Sha Tin:,"TURF - ""C+3"" Course",Good,18:20,98,0,V1,,357,4
7,2025/09/28,8,WINNING WING,天將龍駒,H T Mo,巫顯東 (-2),127,1177,14,K W Lui,11,Class 3,1600,Sha Tin:,"TURF - ""C+3"" Course",Good,18:20,81,0,B-/TT,,1089,5
8,2025/09/28,9,POPE CODY,幸運派彩,J Orman,奧爾民,125,1101,3,Y S Tsui,11,Class 3,1600,Sha Tin:,"TURF - ""C+3"" Course",Good,18:20,21,1,TT,,317,4
9,2025/09/28,10,ENDEARED,安泰,A Badel,巴度,124,1047,1,J Size,11,Class 3,1600,Sha Tin:,"TURF - ""C+3"" Course",Good,18:20,7,2,P-/XB,,1103,5
10,2025/09/28,11,FLYING LUCK,昭易搵,B Avdulla,艾道拿,123,1168,9,C Fownes,11,Class 3,1600,Sha Tin:,"TURF - ""C+3"" Course",Good,18:20,89,0,V/TT,,1117,5
11,2025/09/28,12,GREY CHARGER,銀光奔騰,H Bentley,班德禮,123,1022,8,D Eustace,11,Class 3,1600,Sha Tin:,"TURF - ""C+3"" Course",Good,18:20,18,1,XB-/TT-,,417,4
12,2025/09/28,13,MASTER TRILLION,八仟財陞,A Atzeni,艾兆禮,120,1064,5,F C Lor,11,Class 3,1600,Sha Tin:,"TURF - ""C+3"" Course",Good,18:20,92,0,B,,1127,5
13,2025/09/28,14,FORTUNE BOY,火焰閃爍,K Teetan,田泰安,117,1118,6,D A Hayes,11,Class 3,1600,Sha Tin:,"TURF - ""C+3"" Course",Good,18:20,85,0,CP,,514,4
